"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Sphingomonas sanxanigenens",NA,"Rhodoferax koreense",NA,"Rhizorhabdus phycosphaerae","Rhizorhabdus wittichii","Psychrobacter arcticus","Sphingomonas alpina",NA,NA,"Xanthomonas campestris","Sphingomonas sinipercae","Staphylococcus saprophyticus","Pseudomonas silesiensis","Rhodoferax sediminis","Sphingomonas ginsengisoli An et al. 2013","Sphingobium indicum","Ruminococcus bovis","Staphylococcus auricularis","Pseudomonas kribbensis",NA,"Rhodovastum atsumiense","Sphingomonas ginsengisoli An et al. 2013","Thermomonas aquatica","Shigella flexneri","Rhodovastum atsumiense","Staphylococcus pasteuri","Paraburkholderia terricola"
"Sphingomonas sediminicola",NA,"Rhodoferax saidenbachensis",NA,"Rhizorhabdus wittichii","Rhodococcus erythropolis","Psychrobacter arenosus","Sphingomonas changnyeongensis",NA,NA,"Xanthomonas euroxanthea","Sphingomonas suaedae","Staphylococcus schweitzeri","Pseudomonas siliginis","Rhodopseudomonas boonkerdii","Sphingomonas hengshuiensis","Sphingobium phenoxybenzoativorans","Ruminococcus gauvreauii","Staphylococcus caprae","Pseudomonas lalkuanensis",NA,"Richelia sinica","Sphingomonas hengshuiensis","Thermomonas brevis","Shigella sonnei","Richelia sinica","Staphylococcus pettenkoferi","Paraburkholderia tropica"
"Sphingomonas sinipercae",NA,"Rhodoferax sediminis",NA,"Rhodanobacter denitrificans","Rhodococcus fascians","Psychrobacter cryohalolentis","Sphingomonas daechungensis",NA,NA,"Xanthomonas euvesicatoria","Sphingomonas taxi","Staphylococcus warneri","Pseudomonas simiae","Rhodopseudomonas palustris","Sphingomonas koreensis","Sphingobium xenophagum","Salinicoccus halodurans","Staphylococcus epidermidis","Pseudomonas lundensis",NA,"Riemerella anatipestifer","Sphingomonas koreensis","Thermus caldilimi","Shinella zoogloeoides","Rippkaea orientalis","Staphylococcus saccharolyticus","Paraburkholderia xenovorans"
"Sphingomonas suaedae",NA,"Rhodopseudomonas boonkerdii",NA,"Rhodococcus erythropolis","Rhodococcus qingshengii","Psychrobacter urativorans","Sphingomonas ginsengisoli An et al. 2013",NA,NA,"Xanthomonas fragariae","Sphingomonas xanthus","Staphylococcus xylosus","Pseudomonas sivasensis","Rhodovastum atsumiense","Sphingomonas lacunae","Sphingobium yanoikuyae","Sanguibacter keddieii","Staphylococcus equorum","Pseudomonas lurida",NA,"Rippkaea orientalis","Sphingomonas lacunae","Thiopseudomonas alkaliphila","Simplicispira suum","Roseateles depolymerans","Staphylococcus saprophyticus","Paraclostridium bifermentans"
"Sphingomonas taxi",NA,"Rhodopseudomonas palustris",NA,"Rhodococcus fascians","Rhodoferax aquaticus","Psychromicrobium lacuslunae","Sphingomonas hengshuiensis",NA,NA,"Xanthomonas hortorum","Sphingopyxis alaskensis","Stenotrophomonas acidaminiphila","Pseudomonas soli","Richelia sinica","Sphingomonas morindae","Sphingomonas aliaeris","Schaalia cardiffensis","Staphylococcus haemolyticus","Pseudomonas mandelii",NA,"Roseateles depolymerans","Sphingomonas morindae","Trichormus variabilis","Skermanella rosea","Roseburia hominis","Staphylococcus warneri","Paracoccus aminophilus"
"Sphingomonas xanthus",NA,"Rhodovastum atsumiense",NA,"Rhodococcus qingshengii","Rhodoferax koreense","Pulveribacter suum","Sphingomonas koreensis",NA,NA,"Xanthomonas hydrangeae","Sphingopyxis fribergensis","Stenotrophomonas indicatrix","Pseudomonas synxantha","Riemerella anatipestifer","Sphingomonas paeninsulae","Sphingomonas alpina","Schaalia meyeri","Staphylococcus hominis","Pseudomonas marincola",NA,"Roseburia hominis","Sphingomonas paeninsulae","Truepera radiovictrix","Sphaerotilus sulfidivorans","Roseburia intestinalis","Stenotrophomonas acidaminiphila","Paracoccus aminovorans"
"Sphingopyxis alaskensis",NA,"Richelia sinica",NA,"Rhodococcus triatomae","Rhodoferax saidenbachensis","Pusillibacter faecalis","Sphingomonas lacunae",NA,NA,"Xanthomonas prunicola","Sphingopyxis macrogoltabida","Stenotrophomonas maltophilia","Pseudomonas syringae","Rippkaea orientalis","Sphingomonas panacis","Sphingomonas changnyeongensis","Sediminicoccus rosea","Staphylococcus nepalensis","Pseudomonas maumuensis",NA,"Roseburia intestinalis","Sphingomonas panacis","Tsukamurella paurometabola","Sphingobacterium multivorum","Roseococcus microcysteis","Stenotrophomonas indicatrix","Paracoccus contaminans"
"Sphingopyxis fribergensis",NA,"Rippkaea orientalis",NA,"Rhodoferax antarcticus","Rhodoferax sediminis","Qipengyuania flava","Sphingomonas morindae",NA,NA,"Xylophilus rhododendri","Sphingosinithalassobacter tenebrarum","Stenotrophomonas pavanii","Pseudomonas syringae group genomosp. 3","Roseateles depolymerans","Sphingomonas panacisoli","Sphingomonas daechungensis","Serinicoccus chungangensis","Staphylococcus pasteuri","Pseudomonas mendocina",NA,"Roseococcus microcysteis","Sphingomonas panacisoli","Tsuneonella dongtanensis","Sphingobacterium spiritivorum","Roseomonas gilardii","Stenotrophomonas maltophilia","Paracoccus jeotgali"
"Sphingopyxis macrogoltabida",NA,"Roseateles depolymerans",NA,"Rhodoferax aquaticus","Rhodopseudomonas boonkerdii","Qipengyuania sediminis","Sphingomonas paeninsulae",NA,NA,"Zymomonas mobilis","Spirosoma pollinicola","Steroidobacter denitrificans","Pseudomonas syringae group genomosp. 7","Roseburia hominis","Sphingomonas paucimobilis","Sphingomonas ginsengisoli An et al. 2013","Serpentinimonas maccroryi","Staphylococcus pettenkoferi","Pseudomonas monsensis",NA,"Roseomonas gilardii","Sphingomonas paucimobilis","Variibacter gotjawalensis","Sphingobium amiense","Roseomonas haemaphysalidis","Stenotrophomonas pavanii","Paracoccus liaowanqingii"
"Sphingosinithalassobacter tenebrarum",NA,"Roseburia hominis",NA,"Rhodoferax koreense","Rhodopseudomonas palustris","Quatrionicoccus australiensis","Sphingomonas panacis",NA,NA,"[Mycobacterium] stephanolepidis","Spirosoma rigui","Streptococcus anginosus","Pseudomonas tensinigenes","Roseburia intestinalis","Sphingomonas piscis","Sphingomonas hengshuiensis","Serpentinimonas raichei","Staphylococcus saccharolyticus","Pseudomonas monteilii",NA,"Roseomonas haemaphysalidis","Sphingomonas piscis","Veillonella dispar","Sphingobium cloacae","Roseomonas marmotae","Streptococcus australis","Paracoccus marcusii"
"Spirosoma pollinicola",NA,"Roseburia intestinalis",NA,"Rhodoferax saidenbachensis","Rhodovastum atsumiense","Rahnella aceris","Sphingomonas panacisoli",NA,NA,"[Ochrobactrum] quorumnocens","Stanieria cyanosphaera","Streptococcus australis","Pseudomonas tohonis","Roseococcus microcysteis","Sphingomonas profundi","Sphingomonas koreensis","Serratia fonticola","Staphylococcus saprophyticus","Pseudomonas mosselii",NA,"Roseomonas marmotae","Sphingomonas profundi","Veillonella nakazawae","Sphingobium fuliginis","Roseomonas mucosa","Streptococcus cristatus","Paracoccus mutanolyticus"
"Stanieria cyanosphaera",NA,"Roseococcus microcysteis",NA,"Rhodoferax sediminis","Richelia sinica","Rahnella victoriana","Sphingomonas paucimobilis",NA,NA,"[Ruminococcus] gnavus","Staphylococcus aureus","Streptococcus cristatus","Pseudomonas toyotomiensis","Roseomonas gilardii","Sphingomonas psychrotolerans","Sphingomonas lacunae","Serratia liquefaciens","Staphylococcus schweitzeri","Pseudomonas multiresinivorans",NA,"Roseomonas mucosa","Sphingomonas psychrotolerans","Veillonella parvula","Sphingobium indicum","Rothia aeria","Streptococcus gordonii","Paracoccus pantotrophus"
"Staphylococcus aureus",NA,"Roseomonas gilardii",NA,"Rhodopseudomonas boonkerdii","Roseateles depolymerans","Raineyella fluvialis","Sphingomonas piscis",NA,NA,NA,"Staphylococcus auricularis","Streptococcus gordonii","Pseudomonas tremae","Roseomonas haemaphysalidis","Sphingomonas radiodurans","Sphingomonas morindae","Serratia quinivorans","Staphylococcus simiae","Pseudomonas muyukensis",NA,"Rothia aeria","Sphingomonas radiodurans","Veillonella rodentium","Sphingobium phenoxybenzoativorans","Rothia amarae","Streptococcus gwangjuense","Paracoccus sanguinis"
"Staphylococcus auricularis",NA,"Roseomonas haemaphysalidis",NA,"Rhodopseudomonas palustris","Roseburia hominis","Ralstonia insidiosa","Sphingomonas profundi",NA,NA,NA,"Staphylococcus caprae","Streptococcus gwangjuense","Pseudomonas tritici","Roseomonas marmotae","Sphingomonas rhizophila","Sphingomonas paeninsulae","Shewanella xiamenensis","Staphylococcus warneri","Pseudomonas nanhaiensis",NA,"Rothia amarae","Sphingomonas rhizophila","Verminephrobacter eiseniae","Sphingobium xenophagum","Rothia dentocariosa","Streptococcus infantarius","Paracoccus suum"
"Staphylococcus caprae",NA,"Roseomonas marmotae",NA,"Richelia sinica","Roseburia intestinalis","Ralstonia mannitolilytica","Sphingomonas psychrotolerans",NA,NA,NA,"Staphylococcus epidermidis","Streptococcus infantarius","Pseudomonas tructae","Roseomonas mucosa","Sphingomonas sabuli","Sphingomonas panacis","Shigella dysenteriae","Staphylococcus xylosus","Pseudomonas oleovorans",NA,"Rothia dentocariosa","Sphingomonas sabuli","Vitreoscilla filiformis","Sphingobium yanoikuyae","Rothia nasimurium","Streptococcus intermedius","Paracoccus tegillarcae"
"Staphylococcus epidermidis",NA,"Roseomonas mucosa",NA,"Rippkaea orientalis","Roseococcus microcysteis","Ralstonia pseudosolanacearum","Sphingomonas radiodurans",NA,NA,NA,"Staphylococcus equorum","Streptococcus intermedius","Pseudomonas umsongensis","Rothia aeria","Sphingomonas sanxanigenens","Sphingomonas panacisoli","Shigella flexneri","Stenotrophomonas acidaminiphila","Pseudomonas orientalis",NA,"Rothia nasimurium","Sphingomonas sanxanigenens","Weissella confusa","Sphingomonas aliaeris","Rothia terrae","Streptococcus koreensis","Paracoccus yeei"
"Staphylococcus equorum",NA,"Rothia aeria",NA,"Roseateles depolymerans","Roseomonas gilardii","Ralstonia syzygii","Sphingomonas rhizophila",NA,NA,NA,"Staphylococcus haemolyticus","Streptococcus koreensis","Pseudomonas vanderleydeniana","Rothia amarae","Sphingomonas sediminicola","Sphingomonas paucimobilis","Shigella sonnei","Stenotrophomonas indicatrix","Pseudomonas oryziphila",NA,"Rothia terrae","Sphingomonas sediminicola","Weizmannia coagulans","Sphingomonas alpina","Ruania zhangjianzhongii","Streptococcus lactarius","Paracoccus zhejiangensis"
"Staphylococcus haemolyticus",NA,"Rothia amarae",NA,"Roseburia hominis","Roseomonas haemaphysalidis","Ramlibacter tataouinensis","Sphingomonas sabuli",NA,NA,NA,"Staphylococcus hominis","Streptococcus lactarius","Pseudomonas veronii","Rothia dentocariosa","Sphingomonas sinipercae","Sphingomonas piscis","Shinella zoogloeoides","Stenotrophomonas maltophilia","Pseudomonas otitidis",NA,"Ruania halotolerans","Sphingomonas sinipercae","Xanthobacter dioxanivorans","Sphingomonas changnyeongensis","Rugosibacter aromaticivorans","Streptococcus lutetiensis","Paradevosia shaoguanensis"
"Staphylococcus hominis",NA,"Rothia dentocariosa",NA,"Roseburia intestinalis","Roseomonas marmotae","Raoultella electrica","Sphingomonas sanxanigenens",NA,NA,NA,"Staphylococcus lugdunensis","Streptococcus lutetiensis","Pseudomonas versuta","Rothia nasimurium","Sphingomonas suaedae","Sphingomonas profundi","Simiaoa sunii","Stenotrophomonas pavanii","Pseudomonas pergaminensis",NA,"Rugosibacter aromaticivorans","Sphingomonas suaedae","Xanthomonas arboricola","Sphingomonas ginsengisoli An et al. 2013","Saccharomonospora viridis","Streptococcus mutans","Paraflavitalea soli"
"Staphylococcus lugdunensis",NA,"Rothia nasimurium",NA,"Roseococcus microcysteis","Roseomonas mucosa","Raoultella planticola","Sphingomonas sediminicola",NA,NA,NA,"Staphylococcus nepalensis","Streptococcus mutans","Pseudomonas viciae","Rothia terrae","Sphingomonas taxi","Sphingomonas psychrotolerans","Simplicispira suum","Steroidobacter denitrificans","Pseudomonas phenolilytica",NA,"Salinicoccus halodurans","Sphingomonas taxi","Xanthomonas campestris","Sphingomonas hengshuiensis","Saccharopolyspora gregorii","Streptococcus oralis","Parageobacillus toebii"
"Staphylococcus nepalensis",NA,"Rothia terrae",NA,"Roseomonas haemaphysalidis","Rothia aeria","Raoultella terrigena","Sphingomonas sinipercae",NA,NA,NA,"Staphylococcus pasteuri","Streptococcus oralis","Pseudomonas viridiflava","Ruania halotolerans","Sphingomonas xanthus","Sphingomonas radiodurans","Singulisphaera acidiphila","Streptococcus australis","Pseudomonas phragmitis",NA,"Sanguibacter keddieii","Sphingomonas xanthus","Xanthomonas euroxanthea","Sphingomonas koreensis","Saccharothrix syringae","Streptococcus parasuis","Paraprevotella xylaniphila"
"Staphylococcus pasteuri",NA,"Ruania halotolerans",NA,"Roseomonas marmotae","Rothia amarae","Rathayibacter festucae","Sphingomonas suaedae",NA,NA,NA,"Staphylococcus pettenkoferi","Streptococcus parasuis","Pseudomonas wenzhouensis","Rugosibacter aromaticivorans","Sphingopyxis alaskensis","Sphingomonas rhizophila","Skermanella rosea","Streptococcus cristatus","Pseudomonas plecoglossicida",NA,"Schaalia cardiffensis","Sphingopyxis alaskensis","Xanthomonas euvesicatoria","Sphingomonas lacunae","Salinicoccus halodurans","Streptococcus parauberis","Parascardovia denticolens"
"Staphylococcus pettenkoferi",NA,"Rugosibacter aromaticivorans",NA,"Roseomonas mucosa","Rothia dentocariosa","Rheinheimera mangrovi","Sphingomonas taxi",NA,NA,NA,"Staphylococcus saccharolyticus","Streptococcus periodonticum","Pseudomonas xantholysinigenes","Salinicoccus halodurans","Sphingopyxis fribergensis","Sphingomonas sabuli","Solibaculum mannosilyticum","Streptococcus gordonii","Pseudomonas promysalinigenes",NA,"Schaalia meyeri","Sphingopyxis fribergensis","Xanthomonas fragariae","Sphingomonas morindae","Sanguibacter keddieii","Streptococcus periodonticum","Parasphingorhabdus litoris"
"Staphylococcus saccharolyticus",NA,"Salinicoccus halodurans",NA,"Rothia aeria","Rothia nasimurium","Rhizobacter gummiphilus","Sphingomonas xanthus",NA,NA,NA,"Staphylococcus saprophyticus","Streptococcus pseudopneumoniae","Pseudomonas xanthosomae","Sanguibacter keddieii","Sphingopyxis macrogoltabida","Sphingomonas sanxanigenens","Sphaerotilus sulfidivorans","Streptococcus gwangjuense","Pseudomonas protegens",NA,"Sediminicoccus rosea","Sphingopyxis macrogoltabida","Xanthomonas hortorum","Sphingomonas paeninsulae","Schaalia meyeri","Streptococcus pseudopneumoniae","Parasynechococcus marenigrum"
"Staphylococcus saprophyticus",NA,"Sanguibacter keddieii",NA,"Rothia amarae","Rothia terrae","Rhizobium daejeonense","Sphingopyxis alaskensis",NA,NA,NA,"Staphylococcus schweitzeri","Streptococcus respiraculi","Pseudomonas yamanorum","Schaalia meyeri","Sphingosinithalassobacter tenebrarum","Sphingomonas sediminicola","Sphingobacterium multivorum","Streptococcus infantarius","Pseudomonas psychrophila",NA,"Serinicoccus chungangensis","Sphingosinithalassobacter tenebrarum","Xanthomonas hydrangeae","Sphingomonas panacis","Sediminicoccus rosea","Streptococcus pseudoporcinus","Parvibaculum lavamentivorans"
"Staphylococcus schweitzeri",NA,"Scardovia inopinata",NA,"Rothia dentocariosa","Ruania halotolerans","Rhizobium oryzihabitans","Sphingopyxis fribergensis",NA,NA,NA,"Staphylococcus simiae","Streptococcus thermophilus","Pseudomonas zarinae","Sediminicoccus rosea","Spirosoma pollinicola","Sphingomonas sinipercae","Sphingobium amiense","Streptococcus intermedius","Pseudomonas putida",NA,"Serpentinimonas maccroryi","Spirosoma pollinicola","Xanthomonas prunicola","Sphingomonas panacisoli","Serinicoccus chungangensis","Streptococcus thermophilus","Parvimonas micra"
"Staphylococcus simiae",NA,"Schaalia cardiffensis",NA,"Rothia nasimurium","Rugosibacter aromaticivorans","Rhizobium pseudoryzae","Sphingopyxis macrogoltabida",NA,NA,NA,"Staphylococcus warneri","Streptomyces gilvosporeus","Pseudomonas zeae","Serinicoccus chungangensis","Spirosoma rigui","Sphingomonas suaedae","Sphingobium cloacae","Streptococcus koreensis","Pseudomonas qingdaonensis",NA,"Serpentinimonas raichei","Spirosoma rigui","Xylophilus rhododendri","Sphingomonas paucimobilis","Serinicoccus hydrothermalis","Streptococcus urinalis","Pasteurella dagmatis"
"Staphylococcus warneri",NA,"Schaalia meyeri",NA,"Rothia terrae","Ruminococcus bovis","Rhizobium pusense","Sphingosinithalassobacter tenebrarum",NA,NA,NA,"Staphylococcus xylosus","Stutzerimonas chloritidismutans","Pseudonocardia autotrophica","Serpentinimonas maccroryi","Staphylococcus aureus","Sphingomonas taxi","Sphingobium fuliginis","Streptococcus lactarius","Pseudomonas rhizosphaerae",NA,"Serratia fonticola","Stanieria cyanosphaera","Zymomonas mobilis","Sphingomonas piscis","Serpentinimonas maccroryi","Streptomyces gilvosporeus","Pectobacterium brasiliense"
"Staphylococcus xylosus",NA,"Sediminicoccus rosea",NA,"Rugosibacter aromaticivorans","Ruminococcus gauvreauii","Rhizobium tropici","Spirosoma pollinicola",NA,NA,NA,"Stenotrophomonas acidaminiphila","Stutzerimonas degradans","Pseudonocardia broussonetiae","Serpentinimonas raichei","Staphylococcus auricularis","Sphingomonas xanthus","Sphingobium indicum","Streptococcus lutetiensis","Pseudomonas rhodesiae",NA,"Serratia liquefaciens","Staphylococcus aureus","[Mycobacterium] stephanolepidis","Sphingomonas profundi","Serpentinimonas raichei","Stutzerimonas degradans","Pectobacterium carotovorum"
"Stenotrophomonas acidaminiphila",NA,"Serinicoccus chungangensis",NA,"Ruminococcus bovis","Saccharopolyspora gregorii","Rhizorhabdus dicambivorans","Spirosoma rigui",NA,NA,NA,"Stenotrophomonas indicatrix","Stutzerimonas frequens","Pseudoprevotella muciniphila","Serratia fonticola","Staphylococcus caprae","Sphingopyxis alaskensis","Sphingobium phenoxybenzoativorans","Streptococcus oralis","Pseudomonas salmasensis",NA,"Serratia quinivorans","Staphylococcus auricularis","[Ruminococcus] gnavus","Sphingomonas psychrotolerans","Serratia fonticola","Stutzerimonas frequens","Pectobacterium punjabense"
"Stenotrophomonas indicatrix",NA,"Serpentinimonas maccroryi",NA,"Ruminococcus gauvreauii","Salinicoccus halodurans","Rhizorhabdus phycosphaerae","Stanieria cyanosphaera",NA,NA,NA,"Stenotrophomonas maltophilia","Stutzerimonas kunmingensis","Pseudorhizobium flavum","Serratia liquefaciens","Staphylococcus epidermidis","Sphingopyxis fribergensis","Sphingobium xenophagum","Streptococcus parasuis","Pseudomonas sediminis",NA,"Shewanella sp. JNE2","Staphylococcus caprae",NA,"Sphingomonas radiodurans","Serratia liquefaciens","Stutzerimonas kunmingensis","Pediococcus pentosaceus"
"Stenotrophomonas maltophilia",NA,"Serpentinimonas raichei",NA,"Salinicoccus halodurans","Sanguibacter keddieii","Rhizorhabdus wittichii","Staphylococcus aureus",NA,NA,NA,"Stenotrophomonas pavanii","Stutzerimonas stutzeri","Pseudorhodoplanes sinuspersici","Serratia quinivorans","Staphylococcus equorum","Sphingopyxis macrogoltabida","Sphingobium yanoikuyae","Streptococcus parauberis","Pseudomonas sessilinigenes",NA,"Shewanella xiamenensis","Staphylococcus epidermidis",NA,"Sphingomonas rhizophila","Serratia quinivorans","Stutzerimonas stutzeri","Pedobacter ginsengisoli"
"Stenotrophomonas pavanii",NA,"Serratia fonticola",NA,"Sanguibacter keddieii","Scardovia inopinata","Rhodococcus erythropolis","Staphylococcus auricularis",NA,NA,NA,"Steroidobacter denitrificans","Subdoligranulum variabile","Pseudothauera hydrothermalis","Shewanella sp. JNE2","Staphylococcus haemolyticus","Sphingosinithalassobacter tenebrarum","Sphingomonas aliaeris","Streptococcus pseudopneumoniae","Pseudomonas shahriarae",NA,"Shigella dysenteriae","Staphylococcus equorum",NA,"Sphingomonas sabuli","Shewanella xiamenensis","Subdoligranulum variabile","Pedobacter schmidteae"
"Steroidobacter denitrificans",NA,"Serratia liquefaciens",NA,"Scardovia inopinata","Schaalia cardiffensis","Rhodococcus fascians","Staphylococcus caprae",NA,NA,NA,"Streptococcus anginosus","Sulfuritortus calidifontis","Pseudoxanthomonas daejeonensis","Shewanella xiamenensis","Staphylococcus hominis","Spirosoma pollinicola","Sphingomonas alpina","Streptococcus respiraculi","Pseudomonas shirazica",NA,"Shigella flexneri","Staphylococcus haemolyticus",NA,"Sphingomonas sanxanigenens","Shigella dysenteriae","Sulfurihydrogenibium azorense","Pelagerythrobacter marensis"
"Streptococcus anginosus",NA,"Serratia quinivorans",NA,"Schaalia cardiffensis","Schaalia meyeri","Rhodococcus qingshengii","Staphylococcus epidermidis",NA,NA,NA,"Streptococcus australis","Sulfurivermis fontis","Pseudoxanthomonas mexicana","Shigella dysenteriae","Staphylococcus nepalensis","Stanieria cyanosphaera","Sphingomonas changnyeongensis","Streptococcus thermophilus","Pseudomonas sichuanensis",NA,"Shigella sonnei","Staphylococcus hominis",NA,"Sphingomonas sediminicola","Shigella flexneri","Sulfuritortus calidifontis","Pelagibacterium halotolerans"
"Streptococcus australis",NA,"Shewanella xiamenensis",NA,"Schaalia meyeri","Sediminicoccus rosea","Rhodoferax antarcticus","Staphylococcus equorum",NA,NA,NA,"Streptococcus cristatus","Synechococcus elongatus","Pseudoxanthomonas spadix","Shigella flexneri","Staphylococcus pasteuri","Staphylococcus aureus","Sphingomonas daechungensis","Streptomyces gilvosporeus","Pseudomonas silesiensis",NA,"Shinella zoogloeoides","Staphylococcus lugdunensis",NA,"Sphingomonas sinipercae","Shigella sonnei","Sulfurivermis fontis","Peptacetobacter hiranonis"
"Streptococcus cristatus",NA,"Shigella dysenteriae",NA,"Sediminicoccus rosea","Serinicoccus chungangensis","Rhodoferax aquaticus","Staphylococcus haemolyticus",NA,NA,NA,"Streptococcus gordonii","Tardibacter chloracetimidivorans","Psychrobacter alimentarius","Shigella sonnei","Staphylococcus pettenkoferi","Staphylococcus auricularis","Sphingomonas ginsengisoli An et al. 2013","Stutzerimonas degradans","Pseudomonas siliginis",NA,"Simplicispira suum","Staphylococcus nepalensis",NA,"Sphingomonas suaedae","Shinella zoogloeoides","Synechococcus elongatus","Peptoniphilus harei"
"Streptococcus gordonii",NA,"Shigella flexneri",NA,"Serinicoccus chungangensis","Serpentinimonas maccroryi","Rhodoferax ferrireducens","Staphylococcus hominis",NA,NA,NA,"Streptococcus gwangjuense","Tepidimonas taiwanensis","Psychrobacter arcticus","Shinella zoogloeoides","Staphylococcus saccharolyticus","Staphylococcus caprae","Sphingomonas hengshuiensis","Stutzerimonas frequens","Pseudomonas simiae",NA,"Singulisphaera acidiphila","Staphylococcus pasteuri",NA,"Sphingomonas taxi","Silicimonas algicola","Tardibacter chloracetimidivorans","Peptoniphilus ivorii"
"Streptococcus gwangjuense",NA,"Shigella sonnei",NA,"Serpentinimonas maccroryi","Serpentinimonas raichei","Rhodoferax koreense","Staphylococcus lugdunensis",NA,NA,NA,"Streptococcus infantarius","Tessaracoccus defluvii","Psychrobacter arenosus","Simplicispira suum","Staphylococcus saprophyticus","Staphylococcus epidermidis","Sphingomonas koreensis","Stutzerimonas kunmingensis","Pseudomonas sivasensis",NA,"Skermanella rosea","Staphylococcus pettenkoferi",NA,"Sphingomonas xanthus","Simplicispira suum","Tepidimonas taiwanensis","Peribacillus frigoritolerans"
"Streptococcus infantarius",NA,"Shinella zoogloeoides",NA,"Serpentinimonas raichei","Serratia fonticola","Rhodoferax saidenbachensis","Staphylococcus nepalensis",NA,NA,NA,"Streptococcus intermedius","Tessaracoccus flavescens","Psychrobacter cryohalolentis","Skermanella rosea","Staphylococcus schweitzeri","Staphylococcus equorum","Sphingomonas lacunae","Stutzerimonas stutzeri","Pseudomonas soli",NA,"Sphaerotilus sulfidivorans","Staphylococcus saccharolyticus",NA,"Sphingopyxis alaskensis","Skermanella rosea","Tessaracoccus aquimaris","Petrimonas mucosa"
"Streptococcus intermedius",NA,"Simplicispira suum",NA,"Serratia fonticola","Serratia liquefaciens","Rhodoferax sediminis","Staphylococcus pasteuri",NA,NA,NA,"Streptococcus koreensis","Tessaracoccus flavus","Psychrobacter urativorans","Sphaerotilus sulfidivorans","Staphylococcus simiae","Staphylococcus haemolyticus","Sphingomonas morindae","Subdoligranulum variabile","Pseudomonas synxantha",NA,"Sphingobacterium multivorum","Staphylococcus saprophyticus",NA,"Sphingopyxis fribergensis","Snodgrassella alvi","Tessaracoccus flavescens","Phascolarctobacterium faecium"
"Streptococcus koreensis",NA,"Singulisphaera acidiphila",NA,"Serratia liquefaciens","Serratia quinivorans","Rhodopseudomonas boonkerdii","Staphylococcus pettenkoferi",NA,NA,NA,"Streptococcus lactarius","Tessaracoccus lapidicaptus","Psychromicrobium lacuslunae","Sphingobacterium multivorum","Staphylococcus warneri","Staphylococcus hominis","Sphingomonas paeninsulae","Sulfuritortus calidifontis","Pseudomonas syringae group genomosp. 3",NA,"Sphingobacterium spiritivorum","Staphylococcus warneri",NA,"Sphingopyxis macrogoltabida","Sphaerotilus sulfidivorans","Tessaracoccus flavus","Phenylobacterium zucineum"
"Streptococcus lactarius",NA,"Skermanella rosea",NA,"Serratia quinivorans","Shewanella xiamenensis","Rhodopseudomonas palustris","Staphylococcus saccharolyticus",NA,NA,NA,"Streptococcus lutetiensis","Tessaracoccus timonensis","Pulveribacter suum","Sphingobium amiense","Staphylococcus xylosus","Staphylococcus nepalensis","Sphingomonas panacis","Sulfurivermis fontis","Pseudomonas tensinigenes",NA,"Sphingobium amiense","Staphylococcus xylosus",NA,"Sphingosinithalassobacter tenebrarum","Sphingobacterium multivorum","Tessaracoccus lapidicaptus","Phocaeicola coprophilus"
"Streptococcus lutetiensis",NA,"Sphaerotilus sulfidivorans",NA,"Serratia ureilytica","Shigella dysenteriae","Rhodovastum atsumiense","Staphylococcus saprophyticus",NA,NA,NA,"Streptococcus mutans","Thauera aromatica","Qipengyuania flava","Sphingobium cloacae","Stenotrophomonas acidaminiphila","Staphylococcus pasteuri","Sphingomonas panacisoli","Sutterella wadsworthensis","Pseudomonas tohonis",NA,"Sphingobium cloacae","Stenotrophomonas acidaminiphila",NA,"Spirosoma pollinicola","Sphingobacterium spiritivorum","Thauera aromatica","Phocaeicola dorei"
"Streptococcus mutans",NA,"Sphingobacterium multivorum",NA,"Shewanella sp. JNE2","Shigella flexneri","Richelia sinica","Staphylococcus schweitzeri",NA,NA,NA,"Streptococcus oralis","Thauera chlorobenzoica","Qipengyuania sediminis","Sphingobium fuliginis","Stenotrophomonas indicatrix","Staphylococcus pettenkoferi","Sphingomonas paucimobilis","Synechococcus elongatus","Pseudomonas toyotomiensis",NA,"Sphingobium fuliginis","Stenotrophomonas indicatrix",NA,"Sporosarcina psychrophila","Sphingobium amiense","Thauera chlorobenzoica","Phocaeicola vulgatus"
"Streptococcus oralis",NA,"Sphingobacterium spiritivorum",NA,"Shewanella xiamenensis","Shigella sonnei","Rippkaea orientalis","Staphylococcus simiae",NA,NA,NA,"Streptococcus parasuis","Thauera humireducens","Quatrionicoccus australiensis","Sphingobium indicum","Stenotrophomonas maltophilia","Staphylococcus saccharolyticus","Sphingomonas piscis","Tannerella forsythia","Pseudomonas tremae",NA,"Sphingobium indicum","Stenotrophomonas maltophilia",NA,"Staphylococcus aureus","Sphingobium cloacae","Thauera humireducens","Phormidium yuhuli"
